"Species","Density","Source"
"Mustela erminea",11.394,"Santini et al. (2022, GEB)"
"Mustela eversmanii",0.397,"Santini et al. (2022, GEB)"
"Mustela felipei",2.73,"Santini et al. (2022, GEB)"
"Mustela frenata",3.487,"Santini et al. (2022, GEB)"
"Mustela itatsi",69.466,"Santini et al. (2022, GEB)"
"Mustela kathiah",2.522,"Santini et al. (2022, GEB)"
"Mustela lutreola",10.557,"Santini et al. (2022, GEB)"
"Mustela lutreolina",0.748,"Santini et al. (2022, GEB)"
"Mustela nigripes",0.792,"Santini et al. (2022, GEB)"
"Mustela nivalis",3.63,"Santini et al. (2022, GEB)"
"Mustela nudipes",1.119,"Santini et al. (2022, GEB)"
"Mustela putorius",4.113,"Santini et al. (2022, GEB)"
"Mustela sibirica",1.045,"Santini et al. (2022, GEB)"
"Mustela strigidorsa",0.359,"Santini et al. (2022, GEB)"
"Mustela subpalmata",9.287,"Santini et al. (2022, GEB)"
"Neovison vison",1.776,"Santini et al. (2022, GEB)"
"Poecilogale albinucha",4.703,"Santini et al. (2022, GEB)"
"Pteronura brasiliensis",0.195,"Santini et al. (2022, GEB)"
"Taxidea taxus",0.518,"Santini et al. (2022, GEB)"
"Vormela peregusna",1.428,"Santini et al. (2022, GEB)"
"Nandinia binotata",1.082,"Santini et al. (2022, GEB)"
"Bassaricyon alleni",9.947,"Santini et al. (2022, GEB)"
"Bassaricyon gabbii",6.093,"Santini et al. (2022, GEB)"
"Bassariscus astutus",2.447,"Santini et al. (2022, GEB)"
"Bassariscus sumichrasti",7.277,"Santini et al. (2022, GEB)"
"Nasua narica",2.961,"Santini et al. (2022, GEB)"
"Nasua nasua",7.845,"Santini et al. (2022, GEB)"
"Nasuella olivacea",9.392,"Santini et al. (2022, GEB)"
"Potos flavus",14.102,"Santini et al. (2022, GEB)"
"Procyon cancrivorus",0.835,"Santini et al. (2022, GEB)"
"Procyon lotor",10.722,"Santini et al. (2022, GEB)"
"Procyon pygmaeus",4.081,"Santini et al. (2022, GEB)"
"Ailuropoda melanoleuca",0.765,"Santini et al. (2022, GEB)"
"Helarctos malayanus",0.875,"Santini et al. (2022, GEB)"
"Melursus ursinus",0.466,"Santini et al. (2022, GEB)"
"Tremarctos ornatus",0.13,"Santini et al. (2022, GEB)"
"Ursus americanus",0.191,"Santini et al. (2022, GEB)"
"Ursus arctos",0.055,"Santini et al. (2022, GEB)"
"Ursus thibetanus",0.353,"Santini et al. (2022, GEB)"
"Arctictis binturong",0.853,"Santini et al. (2022, GEB)"
"Arctogalidia trivirgata",1.665,"Santini et al. (2022, GEB)"
"Chrotogale owstoni",2.167,"Santini et al. (2022, GEB)"
"Civettictis civetta",0.587,"Santini et al. (2022, GEB)"
"Cynogale bennettii",1.215,"Santini et al. (2022, GEB)"
"Diplogale hosei",1.501,"Santini et al. (2022, GEB)"
"Genetta abyssinica",1.191,"Santini et al. (2022, GEB)"
"Genetta angolensis",0.882,"Santini et al. (2022, GEB)"
"Genetta bourloni",0.651,"Santini et al. (2022, GEB)"
"Genetta cristata",1.449,"Santini et al. (2022, GEB)"
"Genetta genetta",0.918,"Santini et al. (2022, GEB)"
"Genetta johnstoni",0.547,"Santini et al. (2022, GEB)"
"Genetta maculata",0.716,"Santini et al. (2022, GEB)"
"Genetta pardina",1.349,"Santini et al. (2022, GEB)"
"Genetta piscivora",0.212,"Santini et al. (2022, GEB)"
"Genetta poensis",1.439,"Santini et al. (2022, GEB)"
"Genetta servalina",1.179,"Santini et al. (2022, GEB)"
"Genetta thierryi",1.031,"Santini et al. (2022, GEB)"
"Genetta tigrina",0.637,"Santini et al. (2022, GEB)"
"Genetta victoriae",0.407,"Santini et al. (2022, GEB)"
"Hemigalus derbyanus",2.368,"Santini et al. (2022, GEB)"
"Macrogalidia musschenbroekii",2.317,"Santini et al. (2022, GEB)"
"Paguma larvata",2.996,"Santini et al. (2022, GEB)"
"Paradoxurus hermaphroditus",1.118,"Santini et al. (2022, GEB)"
"Paradoxurus jerdoni",2.991,"Santini et al. (2022, GEB)"
"Paradoxurus zeylonensis",2.103,"Santini et al. (2022, GEB)"
"Poiana leightoni",6.361,"Santini et al. (2022, GEB)"
"Poiana richardsonii",9.372,"Santini et al. (2022, GEB)"
"Prionodon linsang",3.811,"Santini et al. (2022, GEB)"
"Prionodon pardicolor",6.775,"Santini et al. (2022, GEB)"
"Viverra civettina",0.449,"Santini et al. (2022, GEB)"
"Viverra megaspila",0.585,"Santini et al. (2022, GEB)"
"Viverra tangalunga",0.729,"Santini et al. (2022, GEB)"
"Viverra zibetha",1.536,"Santini et al. (2022, GEB)"
"Viverricula indica",2.022,"Santini et al. (2022, GEB)"
"Antilocapra americana",3.115,"Santini et al. (2022, GEB)"
"Addax nasomaculatus",0.073,"Santini et al. (2022, GEB)"
"Aepyceros melampus",1.876,"Santini et al. (2022, GEB)"
"Alcelaphus buselaphus",0.412,"Santini et al. (2022, GEB)"
"Ammodorcas clarkei",2.205,"Santini et al. (2022, GEB)"
"Ammotragus lervia",1.967,"Santini et al. (2022, GEB)"
"Antidorcas marsupialis",1.956,"Santini et al. (2022, GEB)"
"Antilope cervicapra",3.542,"Santini et al. (2022, GEB)"
"Beatragus hunteri",0.615,"Santini et al. (2022, GEB)"
"Bison bison",0.486,"Santini et al. (2022, GEB)"
"Bison bonasus",1.235,"Santini et al. (2022, GEB)"
"Bos frontalis",0.522,"Santini et al. (2022, GEB)"
"Bos grunniens",0.897,"Santini et al. (2022, GEB)"
"Bos javanicus",0.083,"Santini et al. (2022, GEB)"
"Bos sauveli",0.498,"Santini et al. (2022, GEB)"
"Boselaphus tragocamelus",8.984,"Santini et al. (2022, GEB)"
"Bubalus depressicornis",0.698,"Santini et al. (2022, GEB)"
"Bubalus mindorensis",0.797,"Santini et al. (2022, GEB)"
"Bubalus quarlesi",0.909,"Santini et al. (2022, GEB)"
"Budorcas taxicolor",0.83,"Santini et al. (2022, GEB)"
"Capra caucasica",2.748,"Santini et al. (2022, GEB)"
"Capra falconeri",0.672,"Santini et al. (2022, GEB)"
"Capra hircus",1.845,"Santini et al. (2022, GEB)"
"Capra ibex",2.892,"Santini et al. (2022, GEB)"
"Capra nubiana",1.631,"Santini et al. (2022, GEB)"
"Capra pyrenaica",3.188,"Santini et al. (2022, GEB)"
"Capra sibirica",3.421,"Santini et al. (2022, GEB)"
"Capra walie",1.147,"Santini et al. (2022, GEB)"
"Capricornis crispus",3.135,"Santini et al. (2022, GEB)"
"Capricornis rubidus",1.152,"Santini et al. (2022, GEB)"
"Capricornis sumatraensis",0.67,"Santini et al. (2022, GEB)"
"Capricornis swinhoei",2.39,"Santini et al. (2022, GEB)"
"Cephalophus adersi",3.537,"Santini et al. (2022, GEB)"
"Cephalophus callipygus",1.484,"Santini et al. (2022, GEB)"
"Cephalophus dorsalis",0.52,"Santini et al. (2022, GEB)"
"Cephalophus jentinki",0.596,"Santini et al. (2022, GEB)"
"Cephalophus leucogaster",1.783,"Santini et al. (2022, GEB)"
"Cephalophus natalensis",1.687,"Santini et al. (2022, GEB)"
"Cephalophus niger",0.597,"Santini et al. (2022, GEB)"
"Cephalophus nigrifrons",5.59,"Santini et al. (2022, GEB)"
"Cephalophus ogilbyi",2.105,"Santini et al. (2022, GEB)"
"Cephalophus rufilatus",0.802,"Santini et al. (2022, GEB)"
"Cephalophus silvicultor",0.426,"Santini et al. (2022, GEB)"
"Cephalophus spadix",1.015,"Santini et al. (2022, GEB)"
"Cephalophus weynsi",1.349,"Santini et al. (2022, GEB)"
"Cephalophus zebra",1.298,"Santini et al. (2022, GEB)"
"Connochaetes gnou",3.498,"Santini et al. (2022, GEB)"
"Connochaetes taurinus",2.137,"Santini et al. (2022, GEB)"
"Damaliscus lunatus",0.535,"Santini et al. (2022, GEB)"
"Damaliscus pygargus",3.408,"Santini et al. (2022, GEB)"
"Dorcatragus megalotis",5.203,"Santini et al. (2022, GEB)"
"Eudorcas rufifrons",0.551,"Santini et al. (2022, GEB)"
"Eudorcas thomsonii",3.427,"Santini et al. (2022, GEB)"
"Gazella arabica",4.142,"Santini et al. (2022, GEB)"
"Gazella bennettii",1.565,"Santini et al. (2022, GEB)"
"Gazella cuvieri",3.666,"Santini et al. (2022, GEB)"
"Gazella dorcas",0.869,"Santini et al. (2022, GEB)"
"Gazella gazella",3.71,"Santini et al. (2022, GEB)"
"Gazella leptoceros",3.209,"Santini et al. (2022, GEB)"
"Gazella spekei",2.714,"Santini et al. (2022, GEB)"
"Gazella subgutturosa",3.994,"Santini et al. (2022, GEB)"
"Hemitragus hylocrius",1.925,"Santini et al. (2022, GEB)"
"Hemitragus jayakari",3.163,"Santini et al. (2022, GEB)"
"Hemitragus jemlahicus",1.618,"Santini et al. (2022, GEB)"
"Hippotragus equinus",0.175,"Santini et al. (2022, GEB)"
"Hippotragus niger",0.19,"Santini et al. (2022, GEB)"
"Kobus ellipsiprymnus",0.327,"Santini et al. (2022, GEB)"
"Kobus kob",0.854,"Santini et al. (2022, GEB)"
"Kobus leche",1.077,"Santini et al. (2022, GEB)"
"Kobus megaceros",0.394,"Santini et al. (2022, GEB)"
"Kobus vardonii",0.788,"Santini et al. (2022, GEB)"
"Litocranius walleri",0.116,"Santini et al. (2022, GEB)"
"Madoqua guentheri",4.217,"Santini et al. (2022, GEB)"
"Madoqua kirkii",2.294,"Santini et al. (2022, GEB)"
"Madoqua piacentinii",13.879,"Santini et al. (2022, GEB)"
"Madoqua saltiana",11.87,"Santini et al. (2022, GEB)"
"Naemorhedus baileyi",4.368,"Santini et al. (2022, GEB)"
"Naemorhedus caudatus",2.838,"Santini et al. (2022, GEB)"
"Naemorhedus goral",3.957,"Santini et al. (2022, GEB)"
"Nanger dama",0.4,"Santini et al. (2022, GEB)"
"Nanger granti",0.735,"Santini et al. (2022, GEB)"
"Nanger soemmerringii",1.404,"Santini et al. (2022, GEB)"
"Neotragus batesi",15.643,"Santini et al. (2022, GEB)"
"Neotragus moschatus",2.543,"Santini et al. (2022, GEB)"
"Neotragus pygmaeus",7.269,"Santini et al. (2022, GEB)"
"Oreamnos americanus",1.249,"Santini et al. (2022, GEB)"
"Oreotragus oreotragus",0.303,"Santini et al. (2022, GEB)"
"Oryx beisa",0.269,"Santini et al. (2022, GEB)"
"Oryx dammah",0.561,"Santini et al. (2022, GEB)"
"Oryx gazella",1.043,"Santini et al. (2022, GEB)"
