"Species","Density","Source"
"Columba albitorques",0.884642549155144,"Santini et al. (2023, GEB)"
"Columba oenas",0.632057505428583,"Santini et al. (2023, GEB)"
"Columba oliviae",0.836904165080655,"Santini et al. (2023, GEB)"
"Columba eversmanni",0.0177514115721248,"Santini et al. (2023, GEB)"
"Columba palumbus",1.25825809714562,"Santini et al. (2023, GEB)"
"Columba trocaz",0.46326734760287,"Santini et al. (2023, GEB)"
"Columba bollii",0.521262389187815,"Santini et al. (2023, GEB)"
"Columba junoniae",0.489072333055248,"Santini et al. (2023, GEB)"
"Columba unicincta",0.479404724728419,"Santini et al. (2023, GEB)"
"Columba sjostedti",0.425615978325921,"Santini et al. (2023, GEB)"
"Columba thomensis",0.573064828088872,"Santini et al. (2023, GEB)"
"Columba arquatrix",1.37291744186952,"Santini et al. (2023, GEB)"
"Columba pollenii",1.3347566180312,"Santini et al. (2023, GEB)"
"Columba hodgsonii",0.261740728440461,"Santini et al. (2023, GEB)"
"Columba albinucha",0.900341170518111,"Santini et al. (2023, GEB)"
"Columba pulchricollis",0.553145570227519,"Santini et al. (2023, GEB)"
"Columba elphinstonii",0.945355281635018,"Santini et al. (2023, GEB)"
"Columba torringtoniae",1.23740799592415,"Santini et al. (2023, GEB)"
"Columba punicea",0.619821773274743,"Santini et al. (2023, GEB)"
"Columba argentina",1.29485625789583,"Santini et al. (2023, GEB)"
"Columba palumboides",0.82324537053553,"Santini et al. (2023, GEB)"
"Columba janthina",0.22291699493764,"Santini et al. (2023, GEB)"
"Columba vitiensis",0.332630176856512,"Santini et al. (2023, GEB)"
"Columba pallidiceps",0.892514304185393,"Santini et al. (2023, GEB)"
"Patagioenas leucocephala",0.865179312500763,"Santini et al. (2023, GEB)"
"Patagioenas speciosa",0.423688188885747,"Santini et al. (2023, GEB)"
"Patagioenas squamosa",0.596281422087185,"Santini et al. (2023, GEB)"
"Patagioenas corensis",0.571812796946595,"Santini et al. (2023, GEB)"
"Patagioenas picazuro",0.707629012941281,"Santini et al. (2023, GEB)"
"Patagioenas araucana",0.977228867690732,"Santini et al. (2023, GEB)"
"Patagioenas caribaea",0.686122995345158,"Santini et al. (2023, GEB)"
"Patagioenas cayennensis",0.747060768758262,"Santini et al. (2023, GEB)"
"Patagioenas flavirostris",0.814628265581493,"Santini et al. (2023, GEB)"
"Patagioenas oenops",0.963877393863579,"Santini et al. (2023, GEB)"
"Patagioenas inornata",0.532593775414363,"Santini et al. (2023, GEB)"
"Patagioenas plumbea",1.11136496579171,"Santini et al. (2023, GEB)"
"Patagioenas subvinacea",0.9430511373048,"Santini et al. (2023, GEB)"
"Patagioenas nigrirostris",1.0251696229336,"Santini et al. (2023, GEB)"
"Patagioenas goodsoni",1.0184731548127,"Santini et al. (2023, GEB)"
"Columba iriditorques",0.674247587234845,"Santini et al. (2023, GEB)"
"Columba malherbii",0.662473562406502,"Santini et al. (2023, GEB)"
"Columba delegorguei",1.09489949118664,"Santini et al. (2023, GEB)"
"Nesoenas picturata",1.29089762659604,"Santini et al. (2023, GEB)"
"Aplopelia larvata",1.38842043928639,"Santini et al. (2023, GEB)"
"Nesoenas mayeri",1.35084960755478,"Santini et al. (2023, GEB)"
"Streptopelia turtur",0.542830828275163,"Santini et al. (2023, GEB)"
"Streptopelia hypopyrrha",0.401991266074337,"Santini et al. (2023, GEB)"
"Streptopelia lugens",0.977332959202445,"Santini et al. (2023, GEB)"
"Streptopelia orientalis",0.717830469491733,"Santini et al. (2023, GEB)"
"Stigmatopelia senegalensis",0.504898094280573,"Santini et al. (2023, GEB)"
"Streptopelia decipiens",0.797288774372049,"Santini et al. (2023, GEB)"
"Streptopelia capicola",0.0171994463835003,"Santini et al. (2023, GEB)"
"Streptopelia tranquebarica",0.436481907137744,"Santini et al. (2023, GEB)"
"Streptopelia semitorquata",0.353359342048642,"Santini et al. (2023, GEB)"
"Streptopelia reichenowi",1.10501653727069,"Santini et al. (2023, GEB)"
"Macropygia unchall",0.243212220213751,"Santini et al. (2023, GEB)"
"Macropygia rufipennis",1.0083020459739,"Santini et al. (2023, GEB)"
"Macropygia tenuirostris",0.424784994607928,"Santini et al. (2023, GEB)"
"Macropygia emiliana",1.11975168423487,"Santini et al. (2023, GEB)"
"Macropygia amboinensis",0.999494792150936,"Santini et al. (2023, GEB)"
"Macropygia phasianella",1.1255749744934,"Santini et al. (2023, GEB)"
"Macropygia ruficeps",1.12496338582506,"Santini et al. (2023, GEB)"
"Macropygia nigrirostris",1.08325543764646,"Santini et al. (2023, GEB)"
"Macropygia mackinlayi",1.33361683952052,"Santini et al. (2023, GEB)"
"Reinwardtoena reinwardtsi",0.894707557383326,"Santini et al. (2023, GEB)"
"Reinwardtoena browni",0.931418213603826,"Santini et al. (2023, GEB)"
"Reinwardtoena crassirostris",1.10812504538676,"Santini et al. (2023, GEB)"
"Turacoena modesta",0.89630631910618,"Santini et al. (2023, GEB)"
"Turtur chalcospilos",1.20483097360458,"Santini et al. (2023, GEB)"
"Turtur afer",0.46850798441243,"Santini et al. (2023, GEB)"
"Turtur tympanistria",0.635000533641822,"Santini et al. (2023, GEB)"
"Turtur brehmeri",0.702180997210327,"Santini et al. (2023, GEB)"
"Chalcophaps stephani",1.06044969373926,"Santini et al. (2023, GEB)"
"Henicophaps albifrons",0.953438158664224,"Santini et al. (2023, GEB)"
"Henicophaps foersteri",0.981822382670358,"Santini et al. (2023, GEB)"
"Phaps chalcoptera",1.38915224607635,"Santini et al. (2023, GEB)"
"Phaps elegans",1.58249209469928,"Santini et al. (2023, GEB)"
"Phaps histrionica",1.28575301005527,"Santini et al. (2023, GEB)"
"Ocyphaps lophotes",1.3646695641857,"Santini et al. (2023, GEB)"
"Geophaps plumifera",1.50758570777537,"Santini et al. (2023, GEB)"
"Geophaps smithii",1.01213499509248,"Santini et al. (2023, GEB)"
"Geophaps scripta",1.42063024164554,"Santini et al. (2023, GEB)"
"Petrophassa albipennis",1.03863973660171,"Santini et al. (2023, GEB)"
"Petrophassa rufipennis",0.891918491625543,"Santini et al. (2023, GEB)"
"Geopelia cuneata",1.62468024546867,"Santini et al. (2023, GEB)"
"Geopelia striata",1.42359284761102,"Santini et al. (2023, GEB)"
"Geopelia maugeus",1.43111634571379,"Santini et al. (2023, GEB)"
"Geopelia placida",1.67576805466197,"Santini et al. (2023, GEB)"
"Geopelia humeralis",1.44440370823408,"Santini et al. (2023, GEB)"
"Leucosarcia melanoleuca",1.10442091020981,"Santini et al. (2023, GEB)"
"Zenaida macroura",1.17378179970756,"Santini et al. (2023, GEB)"
"Zenaida auriculata",1.28920865561375,"Santini et al. (2023, GEB)"
"Zenaida aurita",0.775634057723884,"Santini et al. (2023, GEB)"
"Zenaida galapagoensis",1.73576057261003,"Santini et al. (2023, GEB)"
"Columbina inca",1.65202163686215,"Santini et al. (2023, GEB)"
"Columbina squammata",0.965764457642944,"Santini et al. (2023, GEB)"
"Columbina passerina",1.11846254829237,"Santini et al. (2023, GEB)"
"Columbina minuta",0.79326544770076,"Santini et al. (2023, GEB)"
"Columbina talpacoti",1.31798550236601,"Santini et al. (2023, GEB)"
"Columbina buckleyi",1.24520262486393,"Santini et al. (2023, GEB)"
"Columbina picui",1.39248745118159,"Santini et al. (2023, GEB)"
"Columbina cruziana",1.41245557107563,"Santini et al. (2023, GEB)"
"Columbina cyanopis",0.855312253401523,"Santini et al. (2023, GEB)"
"Claravis pretiosa",0.969738779260797,"Santini et al. (2023, GEB)"
"Claravis mondetoura",1.24010561711832,"Santini et al. (2023, GEB)"
"Claravis godefrida",0.838991549506076,"Santini et al. (2023, GEB)"
"Metriopelia ceciliae",1.24677210238277,"Santini et al. (2023, GEB)"
"Metriopelia morenoi",1.27314739090334,"Santini et al. (2023, GEB)"
"Metriopelia melanoptera",1.19655586854642,"Santini et al. (2023, GEB)"
"Metriopelia aymara",1.24905576201005,"Santini et al. (2023, GEB)"
"Uropelia campestris",0.70705934192596,"Santini et al. (2023, GEB)"
"Leptotila verreauxi",1.1092967349803,"Santini et al. (2023, GEB)"
"Leptotila megalura",0.854223795797467,"Santini et al. (2023, GEB)"
"Leptotila plumbeiceps",0.993970046421342,"Santini et al. (2023, GEB)"
"Leptotila battyi",1.27244295760971,"Santini et al. (2023, GEB)"
"Leptotila wellsi",0.863562595922884,"Santini et al. (2023, GEB)"
"Leptotila rufaxilla",0.57495698160399,"Santini et al. (2023, GEB)"
"Leptotila jamaicensis",0.825089592176265,"Santini et al. (2023, GEB)"
"Leptotila pallida",1.2987035348409,"Santini et al. (2023, GEB)"
"Leptotila cassini",1.00870936503173,"Santini et al. (2023, GEB)"
"Leptotila ochraceiventris",0.832621354518488,"Santini et al. (2023, GEB)"
"Leptotila conoveri",1.04768030267789,"Santini et al. (2023, GEB)"
"Geotrygon carrikeri",1.19408626322799,"Santini et al. (2023, GEB)"
"Geotrygon costaricensis",1.13897383447169,"Santini et al. (2023, GEB)"
"Geotrygon versicolor",0.916829872444572,"Santini et al. (2023, GEB)"
"Geotrygon veraguensis",1.05131057170416,"Santini et al. (2023, GEB)"
"Geotrygon albifacies",1.10984470873764,"Santini et al. (2023, GEB)"
"Geotrygon chiriquensis",1.10201966209419,"Santini et al. (2023, GEB)"
"Geotrygon goldmani",1.02589789690623,"Santini et al. (2023, GEB)"
"Geotrygon linearis",0.754914738620094,"Santini et al. (2023, GEB)"
"Geotrygon frenata",1.26617395379562,"Santini et al. (2023, GEB)"
"Geotrygon chrysia",0.902313525369459,"Santini et al. (2023, GEB)"
"Geotrygon mystacea",0.818725646271781,"Santini et al. (2023, GEB)"
"Geotrygon violacea",0.725654413802603,"Santini et al. (2023, GEB)"
"Geotrygon montana",0.529149123470083,"Santini et al. (2023, GEB)"
"Starnoenas cyanocephala",0.739285621506464,"Santini et al. (2023, GEB)"
"Caloenas nicobarica",0.79639214979635,"Santini et al. (2023, GEB)"
"Gallicolumba luzonica",0.247994792619669,"Santini et al. (2023, GEB)"
"Gallicolumba platenae",0.838060066539567,"Santini et al. (2023, GEB)"
"Gallicolumba keayi",0.873907608583422,"Santini et al. (2023, GEB)"
"Gallicolumba crinigera",0.788196218395359,"Santini et al. (2023, GEB)"
"Gallicolumba menagei",0.970545174323345,"Santini et al. (2023, GEB)"
"Gallicolumba rufigula",1.04454205363609,"Santini et al. (2023, GEB)"
"Gallicolumba tristigmata",1.01708269644105,"Santini et al. (2023, GEB)"
"Gallicolumba jobiensis",1.04043274905546,"Santini et al. (2023, GEB)"
"Gallicolumba kubaryi",0.326129753073014,"Santini et al. (2023, GEB)"
"Gallicolumba erythroptera",5.79963454629906,"Santini et al. (2023, GEB)"
"Gallicolumba xanthonura",0.373119037808275,"Santini et al. (2023, GEB)"
"Gallicolumba stairi",3.62269879496327,"Santini et al. (2023, GEB)"
"Gallicolumba sanctaecrucis",1.50545708203156,"Santini et al. (2023, GEB)"
"Gallicolumba rubescens",5.06027191912179,"Santini et al. (2023, GEB)"
"Gallicolumba canifrons",0.785984747637896,"Santini et al. (2023, GEB)"
"Gallicolumba hoedtii",1.05491003344773,"Santini et al. (2023, GEB)"
"Trugon terrestris",0.888291323440718,"Santini et al. (2023, GEB)"
"Phapitreron cinereiceps",1.02282087188158,"Santini et al. (2023, GEB)"
"Treron fulvicollis",1.26684311930245,"Santini et al. (2023, GEB)"
"Treron olax",0.326779830927367,"Santini et al. (2023, GEB)"
"Treron vernans",1.15204418221209,"Santini et al. (2023, GEB)"
"Treron bicinctus",0.86371405720328,"Santini et al. (2023, GEB)"
"Treron curvirostra",0.0637407162639924,"Santini et al. (2023, GEB)"
"Treron griseicauda",1.17574947444477,"Santini et al. (2023, GEB)"
"Treron floris",1.09513583859292,"Santini et al. (2023, GEB)"
"Treron teysmannii",0.806111602483102,"Santini et al. (2023, GEB)"
"Treron psittaceus",0.98476260633996,"Santini et al. (2023, GEB)"
"Treron capellei",0.908437288750374,"Santini et al. (2023, GEB)"
"Treron phoenicopterus",0.773867411622346,"Santini et al. (2023, GEB)"
"Treron waalia",0.592565454285817,"Santini et al. (2023, GEB)"
"Treron sanctithomae",0.717577201237452,"Santini et al. (2023, GEB)"
"Treron pembaensis",1.15951056067281,"Santini et al. (2023, GEB)"
"Treron apicauda",0.174953148102072,"Santini et al. (2023, GEB)"
"Treron oxyurus",1.25232998117507,"Santini et al. (2023, GEB)"
"Treron seimundi",0.875713765117133,"Santini et al. (2023, GEB)"
"Treron sphenurus",0.683354940854175,"Santini et al. (2023, GEB)"
"Treron sieboldii",0.582300377670957,"Santini et al. (2023, GEB)"
"Ptilinopus porphyreus",1.30285958733462,"Santini et al. (2023, GEB)"
"Ptilinopus cinctus",1.03693214850285,"Santini et al. (2023, GEB)"
"Ptilinopus dohertyi",0.974414521720431,"Santini et al. (2023, GEB)"
"Ptilinopus occipitalis",0.0972912919489613,"Santini et al. (2023, GEB)"
"Ptilinopus jambu",0.251961119051973,"Santini et al. (2023, GEB)"
"Ptilinopus leclancheri",0.376911808850455,"Santini et al. (2023, GEB)"
"Ptilinopus bernsteinii",1.09815844765871,"Santini et al. (2023, GEB)"
"Ptilinopus magnificus",1.0209815820057,"Santini et al. (2023, GEB)"
"Ptilinopus perlatus",0.902677070528439,"Santini et al. (2023, GEB)"
"Ptilinopus tannensis",1.47004096493734,"Santini et al. (2023, GEB)"
"Ptilinopus aurantiifrons",0.9511669381431,"Santini et al. (2023, GEB)"
"Ptilinopus wallacii",1.11002735497016,"Santini et al. (2023, GEB)"
"Ptilinopus perousii",3.68064611971007,"Santini et al. (2023, GEB)"
"Ptilinopus monacha",1.11814622935361,"Santini et al. (2023, GEB)"
"Ptilinopus coronulatus",1.08303910603699,"Santini et al. (2023, GEB)"
"Ptilinopus pulchellus",1.11725951944664,"Santini et al. (2023, GEB)"
"Ptilinopus roseicapilla",0.32922415719929,"Santini et al. (2023, GEB)"
"Ptilinopus greyii",1.64906984065769,"Santini et al. (2023, GEB)"
"Ptilinopus richardsii",1.42569222538975,"Santini et al. (2023, GEB)"
"Ptilinopus pelewensis",0.811765523836587,"Santini et al. (2023, GEB)"
"Ptilinopus rarotongensis",5.61200326979506,"Santini et al. (2023, GEB)"
"Ptilinopus huttoni",3.39465989690483,"Santini et al. (2023, GEB)"
"Ptilinopus coralensis",4.87686519777707,"Santini et al. (2023, GEB)"
"Ptilinopus chalcurus",5.53318405843675,"Santini et al. (2023, GEB)"
"Ptilinopus insularis",3.2466190862751,"Santini et al. (2023, GEB)"
"Ptilinopus dupetithouarsii",5.0292596693496,"Santini et al. (2023, GEB)"
"Ptilinopus rivoli",1.09874366908796,"Santini et al. (2023, GEB)"
"Ptilinopus viridis",1.19636400095805,"Santini et al. (2023, GEB)"
"Ptilinopus eugeniae",1.38255809002437,"Santini et al. (2023, GEB)"
"Ptilinopus hyogastrus",1.06301127559556,"Santini et al. (2023, GEB)"
"Ptilinopus granulifrons",1.1513919149144,"Santini et al. (2023, GEB)"
"Ptilinopus iozonus",1.04357368410189,"Santini et al. (2023, GEB)"
"Ptilinopus insolitus",1.07123097580758,"Santini et al. (2023, GEB)"
"Ptilinopus naina",1.22661475398788,"Santini et al. (2023, GEB)"
"Ptilinopus melanospilus",1.43597529011821,"Santini et al. (2023, GEB)"
"Ptilinopus arcanus",0.971944092870524,"Santini et al. (2023, GEB)"
"Ptilinopus victor",3.98461426294077,"Santini et al. (2023, GEB)"
"Ptilinopus luteovirens",1.07168003343038,"Santini et al. (2023, GEB)"
"Ptilinopus layardi",1.92649210354703,"Santini et al. (2023, GEB)"
"Drepanoptila holosericea",1.5394070678427,"Santini et al. (2023, GEB)"
"Alectroenas madagascariensis",0.239060140279181,"Santini et al. (2023, GEB)"
"Alectroenas sganzini",1.47563374416508,"Santini et al. (2023, GEB)"
"Alectroenas pulcherrima",1.35068875958196,"Santini et al. (2023, GEB)"
"Ducula forsteni",0.891312407645473,"Santini et al. (2023, GEB)"
"Ducula mindorensis",0.621958464128733,"Santini et al. (2023, GEB)"
"Ducula radiata",0.965318240434578,"Santini et al. (2023, GEB)"
"Ducula carola",0.662521821766303,"Santini et al. (2023, GEB)"
"Ducula concinna",0.785371180381913,"Santini et al. (2023, GEB)"
"Ducula pacifica",2.95900697866919,"Santini et al. (2023, GEB)"
"Ducula oceanica",0.303380760649553,"Santini et al. (2023, GEB)"
"Ducula aurorae",5.22654943673494,"Santini et al. (2023, GEB)"
"Ducula galeata",4.69423970545461,"Santini et al. (2023, GEB)"
"Ducula rubricera",0.819786758918904,"Santini et al. (2023, GEB)"
"Ducula pistrinaria",0.883057063737708,"Santini et al. (2023, GEB)"
"Ducula whartoni",1.05189066793097,"Santini et al. (2023, GEB)"
"Ducula rosacea",0.92239620461389,"Santini et al. (2023, GEB)"
"Ducula pickeringii",0.739271264057505,"Santini et al. (2023, GEB)"
"Ducula rufigaster",0.757718194430015,"Santini et al. (2023, GEB)"
"Ducula finschii",0.885200532027089,"Santini et al. (2023, GEB)"
"Ducula chalconota",0.858114919614517,"Santini et al. (2023, GEB)"
"Ducula latrans",2.66989540602411,"Santini et al. (2023, GEB)"
"Ducula brenchleyi",1.09331653409792,"Santini et al. (2023, GEB)"
"Ducula bakeri",1.26830959758997,"Santini et al. (2023, GEB)"
"Ducula goliath",1.31877234515791,"Santini et al. (2023, GEB)"
"Ducula melanochroa",0.749951638092937,"Santini et al. (2023, GEB)"
"Ducula mullerii",0.691218354316396,"Santini et al. (2023, GEB)"
"Ducula zoeae",0.669457088058305,"Santini et al. (2023, GEB)"
"Ducula lacernulata",1.21360743089665,"Santini et al. (2023, GEB)"
"Ducula cineracea",0.556127647225977,"Santini et al. (2023, GEB)"
"Ducula bicolor",1.29655741089797,"Santini et al. (2023, GEB)"
"Ducula luctuosa",1.01970377777732,"Santini et al. (2023, GEB)"
"Ducula subflavescens",0.800255514598217,"Santini et al. (2023, GEB)"
"Lopholaimus antarcticus",0.989354361244273,"Santini et al. (2023, GEB)"
"Cryptophaps poecilorrhoa",0.951991365798912,"Santini et al. (2023, GEB)"
"Gymnophaps albertisii",0.92591180479297,"Santini et al. (2023, GEB)"
"Gymnophaps solomonensis",1.12904318979141,"Santini et al. (2023, GEB)"
"Goura cristata",0.39103046650894,"Santini et al. (2023, GEB)"
"Goura victoria",0.15413470449503,"Santini et al. (2023, GEB)"
"Didunculus strigirostris",7.33375173373638,"Santini et al. (2023, GEB)"
"Eurypyga helias",0.172320638644833,"Santini et al. (2023, GEB)"
"Otis tarda",0.0138248280720816,"Santini et al. (2023, GEB)"
"Ardeotis australis",0.544971509362742,"Santini et al. (2023, GEB)"
"Eupodotis savilei",0.0245007840313107,"Santini et al. (2023, GEB)"
"Eupodotis gindiana",0.736534703713491,"Santini et al. (2023, GEB)"
"Eupodotis ruficrista",0.757874621921804,"Santini et al. (2023, GEB)"
"Eupodotis afraoides",0.707907860963786,"Santini et al. (2023, GEB)"
"Eupodotis afra",0.509088379035019,"Santini et al. (2023, GEB)"
"Eupodotis rueppellii",0.365992207282118,"Santini et al. (2023, GEB)"
"Eupodotis vigorsii",0.358521521951256,"Santini et al. (2023, GEB)"
"Eupodotis humilis",0.723568790250944,"Santini et al. (2023, GEB)"
"Eupodotis senegalensis",0.579945826603328,"Santini et al. (2023, GEB)"
"Eupodotis caerulescens",0.562289152085217,"Santini et al. (2023, GEB)"
"Eupodotis melanogaster",0.292687946492181,"Santini et al. (2023, GEB)"
"Eupodotis hartlaubii",0.584960701573294,"Santini et al. (2023, GEB)"
"Balearica pavonina",0.129162539880239,"Santini et al. (2023, GEB)"
"Balearica regulorum",0.550089529928424,"Santini et al. (2023, GEB)"
"Grus rubicunda",0.607389677370883,"Santini et al. (2023, GEB)"
"Grus canadensis",0.0547998004516953,"Santini et al. (2023, GEB)"
"Grus paradisea",0.13061116355401,"Santini et al. (2023, GEB)"
"Grus carunculatus",0.195431631788432,"Santini et al. (2023, GEB)"
"Grus americana",0.0232676005589579,"Santini et al. (2023, GEB)"
"Aramus guarauna",0.299042161320595,"Santini et al. (2023, GEB)"
"Podica senegalensis",0.0180047569420863,"Santini et al. (2023, GEB)"
"Heliopais personatus",0.346670087726972,"Santini et al. (2023, GEB)"
"Heliornis fulica",0.406744600810421,"Santini et al. (2023, GEB)"
"Psophia leucoptera",0.646460985715153,"Santini et al. (2023, GEB)"
"Chunga burmeisteri",0.354051926688274,"Santini et al. (2023, GEB)"
"Rhynochetos jubatus",1.27026742117213,"Santini et al. (2023, GEB)"
"Sarothrura pulchra",0.668824971145602,"Santini et al. (2023, GEB)"
"Sarothrura elegans",1.10284504648341,"Santini et al. (2023, GEB)"
"Sarothrura rufa",1.09860414514693,"Santini et al. (2023, GEB)"
"Sarothrura lugens",1.12170060029135,"Santini et al. (2023, GEB)"
"Sarothrura affinis",1.53845231254149,"Santini et al. (2023, GEB)"
"Sarothrura insularis",1.57681318453371,"Santini et al. (2023, GEB)"
"Sarothrura ayresi",0.672736790017253,"Santini et al. (2023, GEB)"
"Sarothrura watersi",1.66646411058486,"Santini et al. (2023, GEB)"
"Himantornis haematopus",0.376906056816353,"Santini et al. (2023, GEB)"
"Canirallus oculeus",0.530233118001832,"Santini et al. (2023, GEB)"
"Coturnicops exquisitus",0.960474970039665,"Santini et al. (2023, GEB)"
"Coturnicops noveboracensis",1.32783498422989,"Santini et al. (2023, GEB)"
"Coturnicops notatus",1.55197329272362,"Santini et al. (2023, GEB)"
"Micropygia schomburgkii",0.651174234883505,"Santini et al. (2023, GEB)"
"Rallina rubra",1.11686704589152,"Santini et al. (2023, GEB)"
"Rallina leucospila",1.06586738338156,"Santini et al. (2023, GEB)"
"Rallina forbesi",1.15205112384577,"Santini et al. (2023, GEB)"
"Rallina mayri",0.882378661752794,"Santini et al. (2023, GEB)"
"Rallina tricolor",0.69255024872441,"Santini et al. (2023, GEB)"
"Rallina canningi",1.18666360942098,"Santini et al. (2023, GEB)"
"Rallina fasciata",0.540233779841415,"Santini et al. (2023, GEB)"
"Rallina eurizonoides",0.224315706517724,"Santini et al. (2023, GEB)"
"Anurolimnas castaneiceps",1.08899643309861,"Santini et al. (2023, GEB)"
"Anurolimnas viridis",0.52074656141864,"Santini et al. (2023, GEB)"
"Anurolimnas fasciatus",0.608843494967885,"Santini et al. (2023, GEB)"
"Laterallus melanophaius",0.671964501155432,"Santini et al. (2023, GEB)"
"Laterallus levraudi",0.802188977295119,"Santini et al. (2023, GEB)"
"Laterallus ruber",1.10155415319873,"Santini et al. (2023, GEB)"
"Laterallus albigularis",1.5092151139578,"Santini et al. (2023, GEB)"
"Laterallus exilis",0.77240488983913,"Santini et al. (2023, GEB)"
"Laterallus jamaicensis",1.18198616026984,"Santini et al. (2023, GEB)"
"Laterallus tuerosi",1.42317322722877,"Santini et al. (2023, GEB)"
"Laterallus spilonotus",1.77350958603909,"Santini et al. (2023, GEB)"
"Laterallus leucopyrrhus",0.844529222225899,"Santini et al. (2023, GEB)"
"Laterallus xenopterus",0.391518675138371,"Santini et al. (2023, GEB)"
"Gallirallus australis",0.0254004319705859,"Santini et al. (2023, GEB)"
"Gallirallus sylvestris",1.19747460031791,"Santini et al. (2023, GEB)"
"Gallirallus okinawae",0.0820070357586082,"Santini et al. (2023, GEB)"
"Gallirallus torquatus",0.805211713123959,"Santini et al. (2023, GEB)"
"Gallirallus insignis",0.958504611331734,"Santini et al. (2023, GEB)"
"Gallirallus philippensis",0.383194316035517,"Santini et al. (2023, GEB)"
"Gallirallus rovianae",1.11583257978883,"Santini et al. (2023, GEB)"
"Gallirallus striatus",1.23905266082571,"Santini et al. (2023, GEB)"
"Rallus wetmorei",0.69998366403689,"Santini et al. (2023, GEB)"
"Rallus limicola",1.13833598535324,"Santini et al. (2023, GEB)"
"Rallus semiplumbeus",0.962863594157723,"Santini et al. (2023, GEB)"
"Rallus antarcticus",1.3392788590121,"Santini et al. (2023, GEB)"
"Rallus caerulescens",1.08200730275196,"Santini et al. (2023, GEB)"
"Rallus madagascariensis",1.36076181191425,"Santini et al. (2023, GEB)"
"Lewinia mirifica",0.840403706898637,"Santini et al. (2023, GEB)"
"Lewinia pectoralis",1.36564227005911,"Santini et al. (2023, GEB)"
"Lewinia muelleri",0.365673356086764,"Santini et al. (2023, GEB)"
"Dryolimnas cuvieri",1.2218427330944,"Santini et al. (2023, GEB)"
"Crecopsis egregia",0.444786020668044,"Santini et al. (2023, GEB)"
"Crex crex",0.753533939716766,"Santini et al. (2023, GEB)"
"Rougetius rougetii",1.12586900198287,"Santini et al. (2023, GEB)"
"Aramidopsis plateni",0.965500996983639,"Santini et al. (2023, GEB)"
"Atlantisia rogersi",0.701189543623173,"Santini et al. (2023, GEB)"
"Aramides mangle",0.290789299394569,"Santini et al. (2023, GEB)"
"Aramides axillaris",0.552165259729348,"Santini et al. (2023, GEB)"
"Aramides wolfi",1.11865253881869,"Santini et al. (2023, GEB)"
"Aramides ypecaha",0.188731884431726,"Santini et al. (2023, GEB)"
"Aramides saracura",0.333560854082098,"Santini et al. (2023, GEB)"
"Aramides calopterus",0.631138986743902,"Santini et al. (2023, GEB)"
"Amaurolimnas concolor",0.797635591401224,"Santini et al. (2023, GEB)"
"Gymnocrex rosenbergii",0.947923832214578,"Santini et al. (2023, GEB)"
"Gymnocrex plumbeiventris",0.831226152178072,"Santini et al. (2023, GEB)"
"Amaurornis akool",0.388683798592475,"Santini et al. (2023, GEB)"
"Amaurornis olivacea",1.00208065668811,"Santini et al. (2023, GEB)"
"Amaurornis isabellina",1.46917266404341,"Santini et al. (2023, GEB)"
"Amaurornis moluccana",1.3633917050645,"Santini et al. (2023, GEB)"
"Amaurornis phoenicurus",0.189800484064039,"Santini et al. (2023, GEB)"
"Amaurornis flavirostra",0.612934997912397,"Santini et al. (2023, GEB)"
"Amaurornis olivieri",1.05570462567585,"Santini et al. (2023, GEB)"
"Amaurornis bicolor",0.715851446203654,"Santini et al. (2023, GEB)"
"Porzana parva",0.825005908404989,"Santini et al. (2023, GEB)"
"Porzana pusilla",0.764211716620662,"Santini et al. (2023, GEB)"
"Porzana porzana",0.837156707579324,"Santini et al. (2023, GEB)"
"Porzana fluminea",1.56534669329501,"Santini et al. (2023, GEB)"
"Porzana carolina",1.36115572536551,"Santini et al. (2023, GEB)"
"Porzana spiloptera",1.00748036349214,"Santini et al. (2023, GEB)"
"Porzana albicollis",0.571344180076371,"Santini et al. (2023, GEB)"
"Porzana fusca",0.49370308135504,"Santini et al. (2023, GEB)"
"Porzana paykullii",0.500363912831634,"Santini et al. (2023, GEB)"
"Porzana tabuensis",1.74500992635791,"Santini et al. (2023, GEB)"
"Porzana atra",3.28383085099813,"Santini et al. (2023, GEB)"
"Porzana flaviventer",0.933631705829433,"Santini et al. (2023, GEB)"
"Porzana cinerea",1.30868252687143,"Santini et al. (2023, GEB)"
"Cyanolimnas cerverai",0.876560983138002,"Santini et al. (2023, GEB)"
"Neocrex colombiana",1.20957631837649,"Santini et al. (2023, GEB)"
"Neocrex erythrops",0.882356749443143,"Santini et al. (2023, GEB)"
"Pardirallus maculatus",0.702795809776198,"Santini et al. (2023, GEB)"
"Pardirallus nigricans",0.510856898467832,"Santini et al. (2023, GEB)"
"Pardirallus sanguinolentus",1.11098634557683,"Santini et al. (2023, GEB)"
"Eulabeornis castaneoventris",0.520200353966796,"Santini et al. (2023, GEB)"
"Habroptila wallacii",0.855854912921927,"Santini et al. (2023, GEB)"
"Megacrex inepta",0.559035896819175,"Santini et al. (2023, GEB)"
"Gallicrex cinerea",0.329320863147936,"Santini et al. (2023, GEB)"
"Porphyrio porphyrio",0.945713434920552,"Santini et al. (2023, GEB)"
"Porphyrio hochstetteri",0.276880992092419,"Santini et al. (2023, GEB)"
"Porphyrio alleni",0.320338286966349,"Santini et al. (2023, GEB)"
